CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
G040,,กลึง,ช,2562,Qtr 3,September,2,ป.6,พุทธ,พม่า,32,9,0,28,6/30/2563,ได้งานใหม่,ลาออก
G041,331,กลึง,ช,2562,Qtr 3,September,23,ป.6,พุทธ,พม่า,30,9,0,7,6/30/2563,ได้งานใหม่,ลาออก
G042,,กลึง,ช,2562,Qtr 3,September,19,ป.ตรี,พุทธ,ไทย,25,6,0,1,3/20/2563,ได้งานใหม่,ลาออก
G043,331,กลึง,ช,2562,Qtr 3,September,25,ป.6,พุทธ,ไทย,29,4,0,11,2/5/2563,ได้งานใหม่,ลาออก
G044,,กลึง,ช,2560,Qtr 3,July,6,ปวส.,พุทธ,ไทย,29,10,2,25,5/31/2563,ได้งานใหม่,ลาออก
G045,331,กลึง,ญ,2563,Qtr 2,June,1,ป.6,พุทธ,ไทย,20,1,0,30,7/31/2563,กลับบ้าน,ลาออก
G046,331,กลึง,ญ,2563,Qtr 3,July,1,ป.6,พุทธ,ลาว,26,4,2,25,0,ทำงาน,ทำงาน
G047,,กลึง,ช,2563,Qtr 3,July,20,ม.3,พุทธ,ไทย,42,4,2,6,0,ทำงาน,ทำงาน
G048,331,กลึง,ญ,2563,Qtr 1,March,6,ม.3,พุทธ,ไทย,38,5,0,25,8/31/2563,ได้งานใหม่,ลาออก
G049,,กลึง,ช,2563,Qtr 3,August,17,ปวช.,พุทธ,ไทย,26,3,0,4,11/21/2563,ได้งานใหม่,ลาออก
G050,,กลึง,ช,2563,Qtr 3,September,1,ม.3,พุทธ,ไทย,27,2,2,25,0,ทำงาน,ทำงาน
G051,331,กลึง,ญ,2563,Qtr 3,August,27,ม.6,พุทธ,ไทย,34,2,2,30,0,ทำงาน,ทำงาน
G052,,กลึง,ช,2563,Qtr 3,September,1,ปวส.,พุทธ,ไทย,27,11,0,27,8/28/2564,ได้งานใหม่,ลาออก
G053,331,กลึง,ช,2563,Qtr 3,September,1,ป.6,พุทธ,ไทย,28,1,0,7,10/8/2563,ได้งานใหม่,ลาออก
G054,331,กลึง,ญ,2563,Qtr 3,September,1,ป.6,พุทธ,ไทย,28,1,0,5,10/6/2563,ได้งานใหม่,ลาออก
